player_data_team,standings_team
1860 Munich,Munich 1860
AA Aachen,Aachen
Alavés,Alaves
Almería,Almeria
Arles-Avignon,Arles
Arminia,Bielefeld
Athletic Club,Ath Bilbao
Atlético Madrid,Ath Madrid
Birmingham City,Birmingham
Bradford City,Bradford
Cardiff City,Cardiff
Celta Vigo,Celta
Charlton Ath,Charlton
Clermont Foot,Clermont
Coventry City,Coventry
Cádiz,Cadiz
Córdoba,Cordoba
Darmstadt 98,Darmstadt
Derby County,Derby
Düsseldorf,Fortuna Dusseldorf
Eint Frankfurt,Ein Frankfurt
Energie Cottbus,Cottbus
Espanyol,Espanol
Evian,Evian Thonon Gaillard
Gazélec Ajaccio,Ajaccio GFCO
Gimnàstic,Gimnastic
Greuther Fürth,Greuther Furth
Hamburger SV,Hamburg
Hannover 96,Hannover
Hellas Verona,Verona
Hertha BSC,Hertha
Hull City,Hull
Hércules,Hercules
Ingolstadt 04,Ingolstadt
Ipswich Town,Ipswich
Karlsruher,Karlsruhe
Köln,FC Koln
La Coruña,La Coruna
Leeds United,Leeds
Leganés,Leganes
Leicester City,Leicester
M'Gladbach,M'gladbach
MSV Duisburg,Duisburg
Mainz 05,Mainz
Manchester City,Man City
Manchester Utd,Man United
Málaga,Malaga
Newcastle Utd,Newcastle
Norwich City,Norwich
Nott'ham Forest,Nott'm Forest
Nîmes,Nimes
Nürnberg,Nurnberg
Paderborn 07,Paderborn
Paris S-G,Paris SG
Racing Sant,Santander
Rayo Vallecano,Vallecano
Real Murcia,Murcia
Real Sociedad,Sociedad
SPAL,Spal
Saint-Étienne,St Etienne
Sheffield Utd,Sheffield United
Sporting Gijón,Sp Gijon
St. Pauli,St Pauli
Stoke City,Stoke
Swansea City,Swansea
Wigan Athletic,Wigan
